OvrcrsMp0Ww,Palestinians: What are the borders of the future Palestinian state?
9e0OFmdT9Ho,Palestinians: Do you think you are brainwashed?
rOW12bTZlW8,Palestinian: What song best represents Palestine?
S0X1ZrspXCU,Palestinians: How many have to die to free Palestine?
1QqGDnQfEA0,Palestinians: Would you speak to Transgender people in the gender they identify as?
jxkdbLCTZlk,Palestinians: If Muslims are one nation why are they indifferent to the Palestinian cause?
jrSrB1JRCx0,Palestinians: Is your beard for religious or fashion reasons?
MS8HBlRnqKM,Palestinians: Which conflicts are worse than Palestine?
_tVldbntLug,Palestinians: Do you have any doubts about the Quran?
1VZTd_UEr3w,Palestinians: Are people answering my questions honestly?
S8bsICWk_bk,Israelis: Where should the borders of Israel be?
A8kEoG-YZ2k,Anti-Zionist religious Jews: Who do you want as your neighbour?
xDDrGcp-Fjw,Israelis: Would you speak to Transgender people in the gender they identify as?
F9V_7oyyYsw,Israelis: Is international media biased against Israel?
ug6lOmPvVRI,Religious Israelis: If biblical figures never existed are you still Jews?
zbTaUqAl2Ck,Jewish Settlers: Isn't it immoral to live in West Bank settlements?
FmU2ef1bli0,Religious Israelis: Why aren't converts to Judaism treated well?
4dPoDb81OiI,Israeli Soldiers: Do you hate Palestinians?
ff4gEL3lH0s,Israelis: If the conflict is solved what do you expect to receive?
CdaEQtMSw7I,Israelis: Did Israel create or support ISIS?